commit_hash,author,message,file_path,commit_url,removed_chunk,added_chunk
88de82cdb45c1e83654b7497e5e07c75541b8cea,Seán de Búrca,Convert index route to async/await,src/server/routes/index.js,https://github.com/metabrainz/bookbrainz-site/commit/88de82cdb45c1e83654b7497e5e07c75541b8cea,"	const latestEntitiesPromise =

		Promise.all(_.map(entityModels, (model, name) =>

			model.query((qb) => {

						`bookbrainz.${_.snakeCase(name)}.revision_id`,

			.fetchAll({

				withRelated: ['defaultAlias', 'revision.revision']

			})

			.then((collection) => collection.toJSON())

		));



	latestEntitiesPromise

		.then((latestEntitiesByType) => {

			const latestEntities = _.orderBy(

				_.flatten(latestEntitiesByType), 'revision.revision.createdAt',

				['desc']

			);

			render(latestEntities);

		})

		.catch(next);
","	try {

		let latestEntities = [];



		for (const modelName in entityModels) {

			const model = entityModels[modelName];



			const collection = await model.query((qb) => {

						`bookbrainz.${_.snakeCase(modelName)}.revision_id`,

				.fetchAll({

					withRelated: ['defaultAlias', 'revision.revision']

				});



			latestEntities = latestEntities.concat(collection.toJSON());

		}



		const orderedEntities = _.orderBy(

			latestEntities, 'revision.revision.createdAt',

			['desc']

		);

		return render(orderedEntities);

	}

	catch (err) {

		return next(err);

	}
"
954dc18e67a4c12d4feec03e6d03d54cdc247f3e,Seán de Búrca,"Convert auth helper to async/await, remove co dependency",src/server/helpers/auth.js,https://github.com/metabrainz/bookbrainz-site/commit/954dc18e67a4c12d4feec03e6d03d54cdc247f3e,"		(req, accessToken, refreshToken, profile, done) => {

			if (req.user) {

				// Logged in, associate

				return linkMBAccount(req.user, profile)

					.then((linkedUser) => done(null, linkedUser.toJSON()));

			}

			// Not logged in, authenticate

			return getAccountByMBUserId(profile)

				.then((fetchedUser) =>

					updateCachedMBName(fetchedUser, profile)

				)

				.then((fetchedUser) => done(null, fetchedUser.toJSON()))

				.catch(() => {

					done(null, false, profile);

				});
","		async (req, accessToken, refreshToken, profile, done) => {

			try {

				if (req.user) {

					const linkedUser = await _linkMBAccount(req.user, profile);



					// Logged in, associate

					return done(null, linkedUser.toJSON());

				}



				// Not logged in, authenticate

				const fetchedUser = await _getAccountByMBUserId(profile);



				await _updateCachedMBName(fetchedUser, profile);

				return done(null, fetchedUser.toJSON());

			}

			catch (err) {

				return done(null, false, profile);

			}
"
7ae31abe46a856b777e65d9e852c654e833efc64,Seán de Búrca,Convert search to async/await and fix indexing,src/server/helpers/search.js,https://github.com/metabrainz/bookbrainz-site/commit/7ae31abe46a856b777e65d9e852c654e833efc64,"	_client.indices.exists({index: _index})

		.then((mainIndexExists) => {

			if (mainIndexExists) {

				return null;

			}

			return search.generateIndex();

		});
","	const mainIndexExists = await _client.indices.exists({index: _index});



	if (mainIndexExists) {

		return null;

	}

	return search.generateIndex();
"
7ae31abe46a856b777e65d9e852c654e833efc64,Seán de Búrca,Convert search to async/await and fix indexing,src/server/helpers/search.js,https://github.com/metabrainz/bookbrainz-site/commit/7ae31abe46a856b777e65d9e852c654e833efc64,"	return _client.indices.delete({index: _index})

		.catch((err) => {

			/**

			 * If the index is missing, don't worry, it probably never existed;

			 * otherwise, rethrow

 			 */

			if (!err.message.startsWith('IndexMissingException')) {

				throw err;

			}

		})

		// GOTCHA: index creation is buggy

		// https://tickets.metabrainz.org/browse/BB-205

		.then(() => _client.indices.create(

			{index: _index, body: indexMappings}

		))

		.then(() => {

			const baseRelations = [

				'annotation',

				'disambiguation',

				'defaultAlias'

			];



			const entityBehaviors = [

				{model: Creator,

					relations:

						['gender', 'creatorType', 'beginArea', 'endArea']},

				{

					model: Edition,

					relations: [

						'publication',

						'editionFormat',

						'editionStatus'

					]

				},

				{model: Publication, relations: ['publicationType']},

				{model: Publisher, relations: ['publisherType', 'area']},

				{model: Work, relations: ['workType']}

			];



			// Update the indexed entries for each entity type

			return Promise.map(entityBehaviors, (behavior) =>

				behavior.model.forge()

					.fetchAll({

						withRelated: baseRelations.concat(behavior.relations)

					})

					.then((collection) => collection.toJSON())

					.map(search.indexEntity)

			);

		})

		.then(() =>

			Area.forge()

				// countries only

				.where({type: 1})

				.fetchAll()

				.then((collection) => collection.toJSON())

				.map(search.indexArea)



		)

		.then(search.refreshIndex);
","	const mainIndexExists = await _client.indices.exists({index: _index});



	if (mainIndexExists) {

		await _client.indices.delete({index: _index});

	}



	await _client.indices.create(

		{index: _index, body: indexMappings}

	);



	const baseRelations = [

		'annotation',

		'disambiguation',

		'defaultAlias'

	];



	const entityBehaviors = [

		{

			model: Creator,

			relations: [

				'gender',

				'creatorType',

				'beginArea',

				'endArea'

			]

		},

		{

			model: Edition,

			relations: [

				'publication',

				'editionFormat',

				'editionStatus'

			]

		},

		{model: Publication, relations: ['publicationType']},

		{model: Publisher, relations: ['publisherType', 'area']},

		{model: Work, relations: ['workType']}

	];



	// Update the indexed entries for each entity type

	for (const behavior of entityBehaviors) {

		const collection = await behavior.model.forge()

			.fetchAll({

				withRelated: baseRelations.concat(behavior.relations)

			});



		const entities = collection.toJSON();



		for (const entity of entities) {

			await search.indexEntity(entity);

		}

	}



	const areaCollection = await Area.forge()

		// countries only

		.where({type: 1})

		.fetchAll();



	const areas = areaCollection.toJSON();



	for (const area of areas) {

		await search.indexArea(area);

	}



	await search.refreshIndex();
"
2dd3a0ff0794b69f49006fc7160e37f2e2e4821d,Ben Ockmore,refactor: use ES6 async/await to simplify entity creation and editing,src/server/routes/entity/entity.js,https://github.com/metabrainz/bookbrainz-site/commit/2dd3a0ff0794b69f49006fc7160e37f2e2e4821d,"		const derivedPropsPromise = processEntitySets(

		)

			.then(

				(derivedSetProps) => _.merge({}, derivedProps, derivedSetProps)

			);

		return Promise.join(

			annotationPromise, disambiguationPromise, derivedPropsPromise,

			editorUpdatePromise, notePromise,

			(

				newRevision,

				aliasSet,

				identSet,

				annotation,

				disambiguation,

				allProps

			) => {

				const propsToSet = _.extend({

					aliasSetId: aliasSet && aliasSet.get('id'),

					annotationId: annotation && annotation.get('id'),

					disambiguationId:

						disambiguation && disambiguation.get('id'),

					identifierSetId: identSet && identSet.get('id'),

					revisionId: newRevision.get('id')

				}, allProps);



				const model = utils.getEntityModelByType(orm, entityType);



				return model.forge(propsToSet)

					.save(null, {

						method: 'insert',

						transacting

					});

			}

		)

			.then(

				(entityModel) =>

					entityModel.refresh({

						transacting,

						withRelated: ['defaultAlias']

					})

			)

			.then((entity) => entity.toJSON());
","		const entitySetIdsPromise = processEntitySets(

		);

		const [

			newRevision, aliasSet, identSet, annotation, disambiguation,

			entitySetIds

		] = await Promise.all([

			annotationPromise, disambiguationPromise, entitySetIdsPromise,

			editorUpdatePromise, notePromise

		]);



		const propsToSet = _.extend({

			aliasSetId: aliasSet && aliasSet.get('id'),

			annotationId: annotation && annotation.get('id'),

			disambiguationId:

				disambiguation && disambiguation.get('id'),

			identifierSetId: identSet && identSet.get('id'),

			revisionId: newRevision.get('id')

		}, derivedProps, entitySetIds);



		const model = utils.getEntityModelByType(orm, entityType);



		const entityModel = await model.forge(propsToSet)

			.save(null, {

				method: 'insert',

				transacting

			});



		const entity = await entityModel.refresh({

			transacting,

			withRelated: ['defaultAlias']

		});



		return entity.toJSON();
"
5825f29657205fe80403e9e38c6bd30bf2fb4c47,Akhilesh Kumar,"feat(statistics-page): add new table to show count of total entities

Add new table with column `Entity Type`, `Total` and
`Added in last 30 days`. In this table shows that total count of
entities in each entity type.",src/server/routes/statistics.js,https://github.com/metabrainz/bookbrainz-site/commit/5825f29657205fe80403e9e38c6bd30bf2fb4c47,"	getTopEditors.then((topEditors) => {

		const props = generateProps(req, res, {

			topEditors

		});

		const markup = ReactDOMServer.renderToString(

			<Layout {...propHelpers.extractLayoutProps(props)}>

				<StatisticsPage

					topEditors={topEditors}

				/>

			</Layout>

		);

		res.send(target({

			markup,

			props: escapeProps(props),

			script: '/js/statistics.js',

			title: 'Statistics'

		}));
","	const topEditors = await getTopEditors;



	const props = generateProps(req, res, {

		allEntities,

		last30DaysEntities,

		topEditors

	const markup = ReactDOMServer.renderToString(

		<Layout {...propHelpers.extractLayoutProps(props)}>

			<StatisticsPage

				allEntities={allEntities}

				last30DaysEntities={last30DaysEntities}

				topEditors={topEditors}

			/>

		</Layout>

	);

	res.send(target({

		markup,

		props: escapeProps(props),

		script: '/js/statistics.js',

		title: 'Statistics'

	}));
"
09242d8519ec9f45b7194129af65783be838dc1e,Monkey Do,"feature: Fetch and display parent's name for deleted entities

In the entity display page. Uses new getEntityParentAlias ORM function.",src/server/helpers/middleware.js,https://github.com/metabrainz/bookbrainz-site/commit/09242d8519ec9f45b7194129af65783be838dc1e,"	return (req, res, next, bbid) => {

		const model = orm.func.entity.getEntityModelByType(orm, modelName);

			return orm.func.entity.getEntity(orm, modelName, bbid, relations)

				.then((entity) => {

					res.locals.entity = entity;

					next();

					return null;

				})

				.catch(model.NotFoundError, () => {

					throw new error.NotFoundError(errMessage, req);

				})

				.catch(next);
","	return async (req, res, next, bbid) => {

			try {

				const entity = await orm.func.entity.getEntity(orm, modelName, bbid, relations);

				if (!entity.dataId) {

					const parentAlias = await orm.func.entity.getEntityParentAlias(

						orm, modelName, bbid

					);

					entity.parentAlias = parentAlias;

				}

				res.locals.entity = entity;

				return next();

			}

			catch (err) {

				return next(new error.NotFoundError(errMessage, req));

			}
"
5602b5cb08969172f606ddc6f2801ead85e22f26,Monkey Do,refactor: Don't query search server when query is empty/null,src/client/entity-editor/common/entity-search-field-option.js,https://github.com/metabrainz/bookbrainz-site/commit/5602b5cb08969172f606ddc6f2801ead85e22f26,"	fetchOptions(query) {

		return request

			})

			.then((response) => ({

				options: response.body.map(this.entityToOption)

			}));
","	async fetchOptions(query) {

		if (!query) {

			return {

				options: []

			};

		}

		const response = await request

			});

		return {

			options: response.body.map(this.entityToOption)

		};
"
16358129e70fc42e10f8c7d8c8538da330e3a31b,PrabalSingh,fix(editor-revisions) : change the table in editor/:id/revisions and add pagination,src/server/routes/editor.js,https://github.com/metabrainz/bookbrainz-site/commit/16358129e70fc42e10f8c7d8c8538da330e3a31b,"router.get('/:id/revisions', (req, res, next) => {

	const {Editor, TitleUnlock} = req.app.locals.orm;

	new Editor({id: parseInt(req.params.id, 10)})

		.fetch({

			require: true,

			withRelated: {

				revisions(query) {

					query.orderBy('id');

				}

			}

		})

		.then((editor) => getEditorTitleJSON(editor.toJSON(), TitleUnlock))

		.then((editorJSON) => {

			const props = generateProps(req, res, {

				editor: editorJSON,

				tabActive: 1

			});

			const markup = ReactDOMServer.renderToString(

				<Layout {...propHelpers.extractLayoutProps(props)}>

					<EditorContainer

						{...propHelpers.extractEditorProps(props)}

					>

						<RevisionsTab

							editor={props.editor}

						/>

					</EditorContainer>

				</Layout>

			);

			res.send(target({

				markup,

				page: 'revisions',

				props: escapeProps(props),

				script: '/js/editor/editor.js'

			}));

		})

		.catch(Editor.NotFoundError, () => {

			throw new error.NotFoundError('Editor not found', req);

		})

		.catch(next);
","router.get('/:id/revisions', async (req, res, next) => {

	const {Editor, TitleUnlock, Revision} = req.app.locals.orm;



	const size = req.query.size ? parseInt(req.query.size, 10) : 20;

	const from = req.query.from ? parseInt(req.query.from, 10) : 0;

	const revisions = await new Revision()

		.query('where', 'author_id', '=', parseInt(req.params.id, 10)).orderBy('created_at', 'DESC')

		.fetchPage({

			limit: size,

			offset: from,

			withRelated: [

				'author'

			]

		});



	const revisionsJSON = revisions.toJSON();



	/* Massage the revisions to match the expected format */

	const formattedRevisions = revisionsJSON.map(rev => {

		const {author: editor, id: revisionId, ...otherProps} = rev;

		return {editor, entities: [], revisionId, ...otherProps};

	});



	/* Fetch associated ${entity}_revisions and last know alias for deleted entities */

	const orderedRevisions = await utilis.getAssociatedEntityRevisions(formattedRevisions, req.app.locals.orm);

	const props = generateProps(req, res, {

		from,

		results: orderedRevisions,

		size,

		tabActive: 1

	});

	props.editor = orderedRevisions[0].editor; // TODO change this

	const markup = ReactDOMServer.renderToString(

		<Layout {...propHelpers.extractLayoutProps(props)}>

			<EditorContainer

				{...propHelpers.extractEditorProps(props)}

			>

				<EditorRevisionPage

					from={props.from}

					results={props.results}

					size={props.size}

				/>

			</EditorContainer>

		</Layout>

	);

	res.send(target({

		markup,

		page: 'revisions',

		props: escapeProps(props),

		script: '/js/editor/editor.js'

	}));

// eslint-disable-next-line consistent-return

router.get('/:id/revisions/revisions', async (req, res, next) => {

	const {Editor, TitleUnlock, Revision} = req.app.locals.orm;

	const size = req.query.size ? parseInt(req.query.size, 10) : 20;

	const from = req.query.from ? parseInt(req.query.from, 10) : 0;



	const revisions = await new Revision()

		.query('where', 'author_id', '=', parseInt(req.params.id, 10)).orderBy('created_at', 'DESC')

		.fetchPage({

			limit: size,

			offset: from,

			withRelated: [

				'author'

			]

		});

	const revisionsJSON = revisions.toJSON();

	try {

		const formattedRevisions = revisionsJSON.map(rev => {

			const {author: editor, id: revisionId, ...otherProps} = rev;

			return {editor, entities: [], revisionId, ...otherProps};

		});



		/* Fetch associated ${entity}_revisions and last know alias for deleted entities */

		const orderedRevisions = await utilis.getAssociatedEntityRevisions(formattedRevisions, req.app.locals.orm);

		res.send(orderedRevisions);

	}

	catch (err) {

		return next(err);

	}

});
"
ba5ba3cb8064097efd29196522b7113f5c1f88ba,PrabalSingh,Display(revision-table-entity) : make revisions table for entity history similar to other revisions table; use pagination,src/server/routes/entity/entity.js,https://github.com/metabrainz/bookbrainz-site/commit/ba5ba3cb8064097efd29196522b7113f5c1f88ba,"export function displayRevisions(

	const {bbid} = req.params;

	return new RevisionModel()

		.where({bbid})

		.fetchAll({

			require: false,

			withRelated: ['revision', 'revision.author', 'revision.notes']

		})

		.then((collection) => {

			const revisions = collection ? collection.toJSON() : [];

			const props = generateProps(req, res, {

				revisions

			});

			const markup = ReactDOMServer.renderToString(

				<Layout {...propHelpers.extractLayoutProps(props)}>

					<EntityRevisions

						entity={props.entity}

						revisions={props.revisions}

					/>

				</Layout>

			);

			return res.send(target({

				markup,

				page: 'revisions',

				props: escapeProps(props),

				script: '/js/entity/entity.js'

			}));

		})

		.catch(next);
","async function getOrderedRevisionForEntityPage(

	from, next: NextFunction, RevisionModel: any, req: PassportRequest, size

) {

	try {

		const revisions = await new RevisionModel()

			.query('where', 'bbid', '=', req.params.bbid)

			.fetchPage({

				limit: size,

				offset: from,

				withRelated: ['revision', 'revision.author', 'revision.notes', 'revision.notes.author']

			});



		const revisionsJSON = revisions ? revisions.toJSON() : [];

		const orderedRevisions = revisionsJSON.map(rev => {

			const {revision} = rev;

			return {editor: revision.author, revisionId: revision.id, ...revision};

		});

		return orderedRevisions;

	}

	catch (err) {

		return next(err);

	}

}



export async function displayRevisions(

	const size = req.query.size ? parseInt(req.query.size, 10) : 20;

	const from = req.query.from ? parseInt(req.query.from, 10) : 0;



	try {

		const orderedRevisions = await getOrderedRevisionForEntityPage(from, next, RevisionModel, req, size);

		const props = generateProps(req, res, {

			from,

			revisions: orderedRevisions,

			showRevisionEditor: true,

			showRevisionNote: true,

			size,

			tableHeading: 'Revision History'

		});

		const markup = ReactDOMServer.renderToString(

			<Layout {...propHelpers.extractLayoutProps(props)}>

				<EntityRevisions

					{...{entity: props.entity}}

					{...propHelpers.extractChildProps(props)}

				/>

			</Layout>

		);

		return res.send(target({

			markup,

			page: 'revisions',

			props: escapeProps(props),

			script: '/js/entity/entity.js'

		}));

	}

	catch (err) {

		return next(err);

	}

}



// eslint-disable-next-line consistent-return

export async function displayRevisions2(

	req: PassportRequest, res: $Response, next: NextFunction, RevisionModel: any

) {

	const size = req.query.size ? parseInt(req.query.size, 10) : 20;

	const from = req.query.from ? parseInt(req.query.from, 10) : 0;



	try {

		const orderedRevisions = await getOrderedRevisionForEntityPage(from, next, RevisionModel, req, size);

		res.send(orderedRevisions);

	}

	catch (err) {

		return next(err);

	}
"
